dataset,source,distribution,test,config,n_points,n_queries,k,build_s,kd3_s,kd3_qps,nf_build_s,nf_s,nf_qps,kd3_ok,nf_ok
dragon,file,bbox-volume,nn1,aabb,437645,100000,1,0.0122204,0.166689,599919,0.0378033,0.371631,269084,1,1
dragon,file,on-cloud,nn1,aabb,437645,100000,1,0.0122204,0.0342806,2.9171e+06,0.0378033,0.0639388,1.564e+06,1,1
dragon,file,bbox-volume,nn1,fast,437645,100000,1,0.0101724,0.35521,281524,0.0378033,0.371631,269084,1,1
dragon,file,on-cloud,nn1,fast,437645,100000,1,0.0101724,0.0186181,5.37111e+06,0.0378033,0.0639388,1.564e+06,1,1
dragon,file,bbox-volume,nn1,fast-aabb,437645,100000,1,0.0222493,0.115705,864266,0.0378033,0.371631,269084,1,1
dragon,file,on-cloud,nn1,fast-aabb,437645,100000,1,0.0222493,0.0266696,3.74958e+06,0.0378033,0.0639388,1.564e+06,1,1
synthetic-solid,generator,bbox-volume,knn,base,1000000,100000,10,0.0348483,0.120479,830021,0.135148,0.248607,402241,1,1
synthetic-solid,generator,on-cloud,knn,base,1000000,100000,10,0.0348483,0.112587,888198,0.135148,0.259577,385242,1,1
synthetic-solid,generator,bbox-volume,knn,aabb,1000000,100000,10,0.0346732,0.146475,682710,0.135148,0.248607,402241,1,1
synthetic-solid,generator,on-cloud,knn,aabb,1000000,100000,10,0.0346732,0.133766,747576,0.135148,0.259577,385242,1,1
synthetic-solid,generator,bbox-volume,nn1,base,1000000,100000,1,0.0344906,0.0339985,2.94131e+06,0.135148,0.103022,970664,1,1
synthetic-solid,generator,on-cloud,nn1,base,1000000,100000,1,0.0344906,0.0284086,3.52006e+06,0.135148,0.0824178,1.21333e+06,1,1
synthetic-solid,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0345664,0.0448369,2.23031e+06,0.135148,0.103022,970664,1,1
synthetic-solid,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0345664,0.0360923,2.77068e+06,0.135148,0.0824178,1.21333e+06,1,1
synthetic-solid,generator,bbox-volume,nn1,fast,1000000,100000,1,0.0343529,0.0222576,4.49285e+06,0.135148,0.103022,970664,1,1
synthetic-solid,generator,on-cloud,nn1,fast,1000000,100000,1,0.0343529,0.0204783,4.88321e+06,0.135148,0.0824178,1.21333e+06,1,1
synthetic-solid,generator,bbox-volume,nn1,fast-aabb,1000000,100000,1,0.033614,0.035325,2.83085e+06,0.135148,0.103022,970664,1,1
synthetic-solid,generator,on-cloud,nn1,fast-aabb,1000000,100000,1,0.033614,0.0291621,3.42911e+06,0.135148,0.0824178,1.21333e+06,1,1
synthetic-mixture,generator,bbox-volume,knn,base,1000000,100000,10,0.0381851,2.22292,44985.8,0.134198,0.341187,293094,1,1
synthetic-mixture,generator,on-cloud,knn,base,1000000,100000,10,0.0381851,0.163221,612665,0.134198,0.242151,412966,1,1
synthetic-mixture,generator,bbox-volume,knn,aabb,1000000,100000,10,0.0415992,0.403322,247941,0.134198,0.341187,293094,1,1
synthetic-mixture,generator,on-cloud,knn,aabb,1000000,100000,10,0.0415992,0.164498,607909,0.134198,0.242151,412966,1,1
synthetic-mixture,generator,bbox-volume,nn1,base,1000000,100000,1,0.03633,1.59037,62878.5,0.134198,0.110176,907641,1,1
synthetic-mixture,generator,on-cloud,nn1,base,1000000,100000,1,0.03633,0.0469348,2.13061e+06,0.134198,0.0871333,1.14767e+06,1,1
synthetic-mixture,generator,bbox-volume,nn1,aabb,1000000,100000,1,0.0348961,0.133322,750066,0.134198,0.110176,907641,1,1
synthetic-mixture,generator,on-cloud,nn1,aabb,1000000,100000,1,0.0348961,0.049895,2.00421e+06,0.134198,0.0871333,1.14767e+06,1,1
